epoch,loss,acc
1,38.94231,69.79167
2,87.50000,72.91667
3,96.63462,78.12500
4,95.67308,90.62500
5,100.00000,88.54167
6,96.15385,88.54167
7,96.63462,92.70833
epoch,loss,acc
12,99.03846,90.62500
13,99.03846,91.66667
14,98.55769,84.37500
15,96.63462,85.41667
16,98.07692,87.50000
epoch,loss,acc
17,91.93548,87.03704
18,93.95161,87.96296
19,98.38710,87.96296
20,98.79032,86.11111
21,97.58065,89.81481
epoch,loss,acc
22,91.87500,88.63636
23,98.75000,89.14141
24,97.81250,88.38384
epoch,loss,acc
epoch,loss,acc
1,98.12500,62.77778
2,97.18750,67.77778
3,96.14583,63.14815
4,94.68750,64.25926
5,96.87500,62.59259
6,95.93750,67.40741
7,96.87500,65.37037
8,96.56250,63.51852
9,98.02083,61.11111
10,97.18750,64.25926
11,97.81250,63.70370
12,98.75000,67.77778
13,98.43750,67.77778
14,98.43750,67.77778
15,96.56250,67.77778
16,98.43750,68.88889
17,99.68750,70.00000
18,100.00000,68.33333
19,98.33333,70.00000
20,99.37500,71.11111
21,99.68750,70.55556
22,98.43750,68.88889
23,99.37500,71.11111
24,99.37500,66.48148
25,99.68750,68.14815
26,99.68750,68.70370
27,99.37500,70.37037
28,99.37500,71.11111
29,99.37500,69.44444
30,99.68750,70.55556
31,100.00000,70.55556
32,99.68750,70.00000
33,99.06250,70.55556
34,99.68750,70.55556
35,100.00000,71.11111
36,99.68750,71.11111
37,99.37500,71.11111
38,100.00000,71.11111
39,100.00000,71.11111
40,99.68750,71.11111
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
41,0.00000,75.52083
epoch,loss,acc
42,88.02083,94.25926
43,98.17708,94.81481
epoch,loss,acc
44,0.00000,92.70833
epoch,loss,acc
45,0.00000,92.70833
epoch,loss,acc
46,0.00000,92.70833
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
47,0.00000,92.70833
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
48,0.00000,92.70833
epoch,loss,acc
epoch,loss,acc
49,0.00000,92.70833
epoch,loss,acc
epoch,loss,acc
50,0.00000,11.11111
epoch,loss,acc
epoch,loss,acc
epoch,loss,acc
51,0.00000,12.03704
epoch,loss,acc
epoch,loss,acc
1,93.13725,91.66667
2,96.81373,90.10417
3,96.56863,90.10417
4,96.07843,91.14583
5,96.56863,92.70833
6,98.52941,89.58333
7,96.07843,89.58333
epoch,loss,acc
