epoch,loss,acc
120,94.28571,21.62963
121,97.14286,22.14815
122,98.57143,23.40741
123,100.00000,24.88889
124,94.28571,22.88889
125,94.28571,20.07407
126,92.85714,24.66667
127,95.71429,33.92593
128,95.71429,24.96296
129,100.00000,22.07407
130,98.57143,20.07407
131,95.71429,19.55556
132,98.57143,17.40741
133,91.42857,24.07407
134,95.71429,27.55556
135,94.28571,30.14815
136,92.85714,30.66667
137,88.57143,27.77778
138,92.85714,25.33333
139,94.28571,28.81481
140,97.14286,26.74074
141,95.71429,29.03704
142,91.42857,24.22222
143,98.57143,23.40741
144,90.00000,22.66667
145,94.28571,23.55556
146,100.00000,28.44444
147,98.57143,27.62963
148,97.14286,31.77778
149,98.57143,24.96296
150,98.57143,23.48148
151,95.71429,18.22222
152,94.28571,26.44444
153,100.00000,21.33333
154,97.14286,19.48148
155,92.85714,21.85185
156,98.57143,27.25926
157,97.14286,22.14815
158,94.28571,22.74074
159,94.28571,23.55556
160,100.00000,30.66667
161,98.57143,28.00000
162,97.14286,24.37037
163,94.28571,27.70370
164,98.57143,28.66667
165,97.14286,26.59259
166,98.57143,25.18519
167,97.14286,28.59259
168,97.14286,29.77778
169,100.00000,29.85185
170,100.00000,29.18519
171,98.57143,28.59259
172,98.57143,25.62963
173,100.00000,25.77778
174,98.57143,25.18519
175,97.14286,27.11111
176,100.00000,28.81481
177,100.00000,32.96296
178,100.00000,33.18519
179,95.71429,31.25926
180,100.00000,29.18519
181,100.00000,26.44444
182,100.00000,24.22222
183,98.57143,24.29630
184,98.57143,24.29630
185,97.14286,21.40741
186,98.57143,22.07407
187,100.00000,22.74074
188,98.57143,27.03704
189,98.57143,28.44444
190,100.00000,27.62963
191,100.00000,26.74074
192,100.00000,28.07407
193,100.00000,29.62963
194,100.00000,29.62963
195,98.57143,30.29630
196,98.57143,28.37037
197,100.00000,29.25926
198,100.00000,27.92593
199,100.00000,25.25926
200,98.57143,23.11111
201,100.00000,24.37037
202,100.00000,24.37037
203,98.57143,23.77778
204,100.00000,24.51852
205,98.57143,23.92593
206,100.00000,23.92593
207,100.00000,23.92593
208,100.00000,23.92593
209,100.00000,23.92593
210,100.00000,25.25926
211,100.00000,25.92593
212,100.00000,25.92593
213,100.00000,25.92593
214,100.00000,25.18519
215,100.00000,25.11111
216,100.00000,25.77778
217,98.57143,25.77778
218,100.00000,27.25926
219,98.57143,23.92593
220,100.00000,23.25926
221,100.00000,25.25926
222,100.00000,25.25926
223,100.00000,25.92593
224,100.00000,27.92593
225,100.00000,27.25926
226,98.57143,28.66667
227,100.00000,27.33333
228,100.00000,26.66667
229,100.00000,25.25926
230,100.00000,26.66667
231,100.00000,27.33333
232,98.57143,28.00000
233,100.00000,26.59259
234,100.00000,26.59259
235,100.00000,28.66667
236,100.00000,28.66667
237,100.00000,27.25926
238,100.00000,25.92593
239,100.00000,25.92593
240,100.00000,25.92593
241,100.00000,26.59259
242,100.00000,25.25926
243,100.00000,23.92593
244,98.57143,23.92593
245,100.00000,24.59259
246,100.00000,24.59259
247,98.57143,24.59259
248,98.57143,24.59259
249,100.00000,24.59259
250,98.57143,24.59259
251,100.00000,25.25926
252,98.57143,24.51852
253,100.00000,24.51852
254,100.00000,24.51852
255,100.00000,24.51852
256,98.57143,24.51852
257,100.00000,25.18519
258,100.00000,25.18519
259,100.00000,25.18519
260,100.00000,25.18519
261,98.57143,25.18519
262,100.00000,24.51852
263,98.57143,24.51852
264,100.00000,24.51852
265,100.00000,24.51852
266,100.00000,24.51852
267,100.00000,24.51852
268,100.00000,23.85185
269,100.00000,23.85185
270,100.00000,23.85185
271,100.00000,24.59259
272,100.00000,24.51852
273,100.00000,24.51852
274,100.00000,24.51852
275,100.00000,24.51852
276,100.00000,24.51852
277,100.00000,24.51852
278,100.00000,24.51852
279,100.00000,24.51852
280,100.00000,24.51852
281,100.00000,24.51852
282,100.00000,24.51852
283,100.00000,24.51852
284,100.00000,24.51852
285,100.00000,24.51852
286,98.57143,24.51852
287,100.00000,24.51852
288,100.00000,24.51852
289,100.00000,24.51852
290,100.00000,24.51852
291,100.00000,24.51852
292,100.00000,24.51852
293,100.00000,24.51852
294,100.00000,24.51852
295,100.00000,24.51852
296,100.00000,24.51852
297,100.00000,24.51852
298,98.57143,24.51852
299,100.00000,24.51852
300,100.00000,24.51852
