epoch,loss,acc
1,5.71429,27.50000
2,14.28571,10.00000
3,37.14286,17.50000
epoch,loss,acc
1,8.19672,24.73118
2,31.14754,27.95699
3,40.98361,36.55914
4,57.37705,36.55914
epoch,loss,acc
1,71.42857,0.00000
2,50.00000,0.00000
3,50.00000,0.00000
4,57.14286,0.00000
5,42.85714,0.00000
6,78.57143,0.00000
7,100.00000,0.00000
epoch,loss,acc
1,71.42857,50.00000
2,50.00000,50.00000
3,50.00000,50.00000
4,57.14286,50.00000
5,42.85714,100.00000
6,78.57143,100.00000
7,100.00000,100.00000
8,92.85714,50.00000
9,92.85714,100.00000
epoch,loss,acc
1,71.42857,50.00000
2,50.00000,50.00000
3,50.00000,55.55556
4,57.14286,50.00000
5,42.85714,66.66667
